name,status,ts_goal,run_nr
ft,success,784,0
rt,infeasible,0,0
nom,infeasible,10,0
nom_star,success,194,0
ft,success,816,1
rt,infeasible,0,1
nom,infeasible,10,1
nom_star,success,193,1
ft,success,1044,2
rt,infeasible,0,2
nom,infeasible,10,2
nom_star,success,250,2
ft,success,996,3
rt,infeasible,0,3
nom,infeasible,9,3
nom_star,success,236,3
ft,success,660,4
rt,infeasible,0,4
nom,infeasible,11,4
nom_star,success,150,4
ft,success,896,5
rt,infeasible,0,5
nom,infeasible,11,5
nom_star,success,211,5
ft,success,1028,6
rt,infeasible,0,6
nom,infeasible,10,6
nom_star,success,234,6
ft,success,840,7
rt,infeasible,0,7
nom,infeasible,8,7
nom_star,success,223,7
ft,success,1092,8
rt,infeasible,0,8
nom,infeasible,13,8
nom_star,success,291,8
ft,success,888,9
rt,infeasible,0,9
nom,infeasible,10,9
nom_star,success,185,9
